fetchTimestamp,ticker,longName,industry,sector,fullExchangeName,website,city,zip,marketCap,regularMarketTime,currentPrice,open,dayHigh,dayLow,volume,previousClose,regularMarketChange,regularMarketChangePercent,fiftyTwoWeekLow,fiftyTwoWeekHigh,allTimeHigh,allTimeLow,fiftyDayAverage,fiftyDayAverageChange,fiftyDayAverageChangePercent,twoHundredDayAverage,twoHundredDayAverageChange,twoHundredDayAverageChangePercent,fiftyTwoWeekLowChange,fiftyTwoWeekLowChangePercent,fiftyTwoWeekHighChange,fiftyTwoWeekHighChangePercent,fiftyTwoWeekRange,averageVolume,averageDailyVolume10Day,averageDailyVolume3Month,floatShares,impliedSharesOutstanding,sharesOutstanding,heldPercentInsiders,heldPercentInstitutions,totalCash,totalCashPerShare,totalDebt,totalRevenue,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,earningsGrowth,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,profitMargins,bookValue,priceToBook,enterpriseValue,trailingPE,forwardPE,trailingEps,forwardEps,dividendRate,dividendYield,exDividendDate,payoutRatio,fiveYearAvgDividendYield,lastSplitFactor,enterpriseToRevenue,netIncomeToCommon,lastSplitDate,beta
2026-09-09T00:32:44.676828,JUBLINGREA.NS,Jubilant Ingrevia Limited,Specialty Chemicals,Basic Materials,NSE,https://jubilantingrevia.com,Noida,201301,106505977856.0,1788861582.0,675.3,675.35,680.3,664.05,159379.0,675.35,-0.049987793,-0.007401761,537.3,795.0,885.0,241.3,715.779,-40.479004,-0.056552377,669.833,5.46698,0.008161706,138.0,0.25683975,-119.70001,-0.15056606,537.3 - 795.0,411323.0,234480.0,411323.0,70899400.0,157716549.0,157716549.0,0.50889,0.27611,1899299968.0,12.025,7918099968.0,46504701952.0,294.423,,,17902399488.0,0.406,0.253,0.38496,0.13338,0.113900006,0.06637,197.83,3.4135368,112675880960.0,34.71979,22.340473,19.45,30.22765,5.0,0.74,1784851200.0,0.2572,0.79,,2.423,3086299904.0,,0.27
2026-09-09T00:32:44.676828,WELCORP.NS,Welspun Corp Limited,Steel,Basic Materials,NSE,https://www.welspuncorp.com,Mumbai,400013,685498368000.0,1788861600.0,2599.5,2611.1,2641.7,2575.5,1053528.0,2597.9,1.6000977,0.061591964,710.0,2676.0,2676.0,5.714285,1875.308,724.192,0.38617232,1210.9655,1388.5345,1.1466343,1889.5,2.6612675,-76.5,-0.028587444,710.0 - 2676.0,1651753.0,2776440.0,1651753.0,134609728.0,263703928.0,263703928.0,0.49845,0.27995002,37637300224.0,142.679,23554500608.0,172997705728.0,656.285,,,66432000000.0,1.983,0.149,0.38401002,0.13972001,0.13912,0.13348,347.077,7.4896927,674143993856.0,29.691605,23.944456,87.55,108.56375,5.0,0.19,1782777600.0,0.1142,1.38,7:10,3.897,23091200000.0,1113955200.0,0.532
2026-09-09T00:32:44.676828,DBREALTY.NS,Valor Estate Limited,Real Estate - Development,Real Estate,NSE,https://www.dbrealty.co.in,Mumbai,400 020,54886141952.0,1788861599.0,101.19,101.0,103.35,100.88,799147.0,100.88,0.3100052,0.30730096,83.5,183.9,475.9,3.65,111.2872,-10.0971985,-0.090730995,111.7815,-10.591499,-0.094751805,17.690002,0.21185632,-82.70999,-0.44975528,83.5 - 183.9,822055.0,1531724.0,822055.0,155737320.0,542406761.0,542406761.0,0.6213,0.02717,796734976.0,1.274,7467542016.0,8637314048.0,16.301,,,5602600960.0,,-0.868,0.64865,0.11694,0.20622,0.0135699995,93.105,1.0868374,69572665344.0,404.76,,0.25,,,,,0.0,,,8.055,117177000.0,,-0.445
2026-09-09T00:32:44.676828,ABLBL.NS,Aditya Birla Lifestyle Brands Limited,Apparel Retail,Consumer Cyclical,NSE,https://www.ablbl.in,Bengaluru,560037,102661218304.0,1788861588.0,84.52,85.29,85.56,84.05,303800.0,85.55,-1.0300064,-1.2039816,82.61,151.33,168.0,82.61,91.8642,-7.3442,-0.07994627,103.45455,-18.934555,-0.18302293,1.909996,0.02312064,-66.810005,-0.44148552,82.61 - 151.33,923154.0,604026.0,923154.0,692585010.0,1214638186.0,1214638186.0,0.57171,0.23113,1078499968.0,0.884,30180999168.0,86009700352.0,70.638,,,49194901504.0,0.2,0.111,0.57197,0.09656,0.050819997,0.02046,11.57,7.3050995,132260986880.0,58.28965,27.264517,1.45,3.1,0.5,0.58,1786060800.0,0.0,,,1.538,1760099968.0,,
2026-09-09T00:32:44.676828,HEROMOTOCO.NS,Hero MotoCorp Limited,Auto Manufacturers,Consumer Cyclical,NSE,https://www.heromotocorp.com,New Delhi,110070,1067453120512.0,1788860699.0,5333.5,5305.0,5339.5,5285.0,393021.0,5270.0,63.5,1.2049336,4671.5,6388.5,6388.5,180.05,5320.062,13.437988,0.0025259082,5370.7217,-37.22168,-0.0069304802,662.0,0.14171037,-1055.0,-0.16514048,4671.5 - 6388.5,707462.0,677466.0,707462.0,129518113.0,200141207.0,200141207.0,0.37236,0.39003,129412702208.0,646.773,7786100224.0,508098412544.0,2539.565,,,160828293120.0,-0.172,0.349,0.31653,0.14047,0.116280004,0.10724,1080.075,4.938083,947550552064.0,19.613504,16.379429,271.93,325.62186,185.0,3.51,1784851200.0,0.6432,3.14,5:1,1.865,54487998464.0,984355200.0,0.468
2026-09-09T00:32:44.676828,IDFCFIRSTB.NS,IDFC First Bank Limited,Banks - Regional,Financial Services,NSE,https://www.idfcfirst.bank.in,Mumbai,400051,745777856512.0,1788860698.0,86.5,86.44,87.1,86.02,11722953.0,86.44,0.05999756,0.06940948,58.08,88.76,100.7,17.65,83.3672,3.1327972,0.037578292,76.88105,9.61895,0.12511471,28.419998,0.48932502,-2.2600021,-0.025461944,58.08 - 88.76,21547108.0,16933641.0,21547108.0,1310884925.0,8621709523.0,8621709523.0,0.12866999,0.45099,,,,30275438592.0,8.883,,,30275438592.0,-0.232,-0.011,0.0,0.0,0.33398,0.32775003,55.11,1.5695881,,33.397686,12.806542,2.59,6.75436,0.25,0.29,1786060800.0,0.096499994,,,,9922635776.0,,
2026-09-09T00:32:44.676828,BANDHANBNK.NS,Bandhan Bank Limited,Banks - Regional,Financial Services,NSE,https://bandhan.bank.in,Kolkata,700091,276434518016.0,1788860699.0,171.58,165.95,172.4,163.3,20824611.0,164.7,6.880005,4.177295,134.25,220.76,741.8,128.16,182.5396,-10.959595,-0.060039546,174.07585,-2.4958496,-0.014337713,37.33,0.27806333,-49.179993,-0.22277583,134.25 - 220.76,12058431.0,4929649.0,12058431.0,1006321602.0,1611111580.0,1611111580.0,0.41349998,0.39224997,131266928640.0,81.376,143028125696.0,99382173696.0,61.703,,,99382173696.0,0.346,0.216,0.0,0.0,0.23771,0.13617,158.964,1.0793638,288533938176.0,20.47494,8.402345,8.38,20.42049,1.5,0.91,1786924800.0,0.17879999,,,2.903,13532693504.0,,0.792
2026-09-09T00:32:44.676828,SHREECEM.NS,Shree Cement Limited,Building Materials,Basic Materials,NSE,https://www.shreecement.com,Kolkata,700001,835630137344.0,1788860702.0,23160.0,23500.0,23560.0,23130.0,13103.0,23365.0,-205.0,-0.8773807,22550.0,30660.0,32490.0,22.5,25653.3,-2493.3008,-0.0971922,25541.5,-2381.5,-0.09324041,610.0,0.027050998,-7500.0,-0.2446184,22550.0 - 30660.0,25928.0,31465.0,25928.0,20526550.0,36080748.0,36080748.0,0.72754997,0.20848,25250000896.0,724.783,33939900416.0,88744697856.0,2547.375,,,65265098752.0,0.034,0.052,0.73543,0.31429002,0.18603,0.1453,2553.785,9.0688925,815537979392.0,51.359383,33.590576,450.94,689.4791,140.0,0.6,1784246400.0,0.3099,0.41,,9.19,12894199808.0,,
2026-09-09T00:32:44.676828,TRITURBINE.NS,Triveni Turbine Limited,Specialty Industrial Machinery,Industrials,NSE,https://www.triveniturbines.com,Noida,201301,184571838464.0,1788861599.0,580.6,567.9,585.0,566.0,374519.0,568.75,11.849976,2.0835123,428.35,787.6,885.0,30.0,608.269,-27.669006,-0.04548811,559.701,20.898987,0.037339557,152.24997,0.35543355,-207.0,-0.2628238,428.35 - 787.6,834166.0,444640.0,834166.0,113710275.0,317898459.0,317898459.0,0.59731,0.28577998,5805000192.0,18.176,358000000.0,22524999680.0,70.762,,,10165000192.0,-0.212,0.192,0.45128,0.19083,0.09465,0.14930001,45.551,12.746153,179982123008.0,54.877125,37.52059,10.58,15.47417,4.0,0.7,1788307200.0,0.4022,0.81,,7.99,3363000064.0,,0.529
2026-09-09T00:32:44.676828,ASHOKLEY.NS,Ashok Leyland Limited,Farm & Heavy Construction Machinery,Industrials,NSE,https://www.ashokleyland.com,Chennai,600032,992681394176.0,1788860705.0,169.0,170.0,170.17,167.75,7995056.0,170.0,-1.0,-0.5882353,132.26,215.42,215.42,2.0075,166.301,2.6990051,0.016229639,172.30765,-3.3076477,-0.019196175,36.740005,0.27778623,-46.42,-0.21548602,132.26 - 215.42,20600571.0,13313227.0,20600571.0,3370828912.0,5873854552.0,5873854552.0,0.36363998,0.34372002,170057891840.0,28.952,639357026304.0,577231323136.0,98.323,,,231245807616.0,0.01,0.116,0.40061,0.21465,0.19645001,0.06021,24.246,6.970222,1505025982464.0,28.547297,20.627136,5.92,8.19309,3.5,2.06,1780444800.0,0.5912,1.62,2:1,2.607,34757701632.0,1752624000.0,0.45
2026-09-09T00:32:44.676828,JUBLPHARMA.NS,Jubilant Pharmova Limited,Drug Manufacturers - Specialty & Generic,Healthcare,NSE,https://www.jubilantpharmova.com,Noida,201301,158030790656.0,1788861590.0,997.75,956.0,1021.55,953.3,1366685.0,950.3,47.450012,4.9931617,786.05,1184.8,1309.9,1.652394,940.866,56.883972,0.060459163,955.7123,42.03772,0.043985747,211.70001,0.26932132,-187.05005,-0.15787478,786.05 - 1184.8,208714.0,206141.0,208714.0,64959329.0,158387168.0,158387168.0,0.58125997,0.21865,12670999552.0,80.0,36146999296.0,86083002368.0,543.43,,,55935000576.0,-0.45,0.173,0.64978,0.12375,0.05414,0.040900003,447.814,2.2280457,181534801920.0,45.065495,19.737885,22.14,50.55,5.0,0.53,1784851200.0,0.22549999,0.88,21:20,2.109,3520999936.0,1290643200.0,0.494
